year,ecode_dest,economy_dest,region_dest,ecode_source,economy_source,value,share,rank,value_million
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,AUT,Austria,0.2235509,0.26783674446623484,2,223.55089999999998
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,HRV,Croatia,0.1981835499999999,0.23744407577317406,3,198.1835499999999
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,DEU,Germany,0.12124795,0.14526739190584703,4,121.24794999999999
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,TUR,Türkiye,0.017,0.02036773126802886,5,17.0
2003,BIH,Bosnia and Herzegovina,,OTH,Others,0.039092318870000003,0.04683657914048551,6,39.09231887000001
2003,BLR,Belarus,Europe & Central Asia,DEU,Germany,0.029048986,0.5717960639627667,1,29.048986
2003,BLR,Belarus,Europe & Central Asia,POL,Poland,0.008083197,0.15910848760213675,2,8.083197
2003,BLR,Belarus,Europe & Central Asia,KAZ,Kazakhstan,0.005,0.09841928113476435,3,5.0
2003,BLR,Belarus,Europe & Central Asia,LTU,Lithuania,0.0031099527,0.061215861819423886,4,3.1099527
2003,BLR,Belarus,Europe & Central Asia,LVA,Latvia,0.0025765188,0.050715825625241136,5,2.5765188
2003,BLR,Belarus,,OTH,Others,0.0029843989499999,0.05874447985566714,6,2.9843989499999
2003,BLZ,Belize,Latin America & Caribbean,USA,United States,0.054,0.8830253158975646,1,54.0
2003,BLZ,Belize,Latin America & Caribbean,BRA,Brazil,0.006143,0.10045230584368035,2,6.143
2003,BLZ,Belize,Latin America & Caribbean,NLD,Netherlands,0.0010103996,0.016522378258755053,3,1.0103996
2003,BMU,Bermuda,North America,USA,United States,84.508,0.6389802922247221,1,84508.0
2003,BMU,Bermuda,North America,HKG,"Hong Kong SAR, China",10.91073,0.082498005440728,2,10910.73
2003,BMU,Bermuda,North America,CAN,Canada,8.471834999999999,0.06405707866686737,3,8471.835
2003,BMU,Bermuda,North America,SGP,Singapore,6.8676504000000005,0.051927548391740776,4,6867.6504
2003,BMU,Bermuda,North America,PRT,Portugal,4.8131,0.036392720742495506,5,4813.1
2003,BMU,Bermuda,,OTH,Others,16.6831547743,0.1261443545334463,6,16683.1547743
2003,BOL,Bolivia,Latin America & Caribbean,USA,United States,0.361,0.32267803879895574,1,361.0
2003,BOL,Bolivia,Latin America & Caribbean,NLD,Netherlands,0.30741406,0.2747805151801233,2,307.41406
