year,ecode_dest,economy_dest,ecode_source,economy_source,value,share,rank
2000,EST,Estonia,SWE,Sweden,130.1682776,0.6170282348557937,1
2000,EST,Estonia,FIN,Finland,52.99428782,0.2512053817866181,2
2000,EST,Estonia,DEU,Germany,9.438916528,0.044742683176004605,3
2000,EST,Estonia,ISL,Iceland,8.053777925,0.038176800589265134,4
2000,EST,Estonia,NLD,Netherlands,5.435784043,0.025766894169225604,5
2000,EST,Estonia,OTH,Others,4.868957988,0.02308000542309286,6
2000,ETH,Ethiopia,DEU,Germany,12.67366869,1.0,1
2000,FIN,Finland,SWE,Sweden,5457.273112,0.8272183131749495,1
2000,FIN,Finland,DNK,Denmark,232.4591681,0.0352363674991632,2
2000,FIN,Finland,NLD,Netherlands,221.116639,0.03351705684773034,3
2000,FIN,Finland,ESP,Spain,199.9262945,0.030305005577226495,4
2000,FIN,Finland,DEU,Germany,170.4671089,0.025839556016720833,5
2000,FIN,Finland,OTH,Others,315.895367857,0.04788370088420961,6
2000,FJI,Fiji,NZL,New Zealand,4.543079754,0.9875827618954728,1
2000,FJI,Fiji,DEU,Germany,0.057121798,0.012417238104527295,2
2000,FRA,France,GBR,United Kingdom,9680.284326,0.3783012255750108,1
2000,FRA,France,DEU,Germany,4438.454026,0.17345281823844444,2
2000,FRA,France,NLD,Netherlands,3155.518703,0.12331627382715869,3
2000,FRA,France,DNK,Denmark,2280.54939,0.08912286046228506,4
2000,FRA,France,USA,United States,1967.0,0.07686948912310762,5
2000,FRA,France,OTH,Others,4067.019790723,0.1589373327739934,6
2000,FRO,Faroe Islands,DEU,Germany,1.449235305,0.542711110496646,1
2000,FRO,Faroe Islands,ISL,Iceland,1.221127024,0.457288889503354,2
2000,FSM,"Micronesia, Fed. Sts.",JPN,Japan,2.1713915,1.0,1
2000,GAB,Gabon,USA,United States,73.0,0.5920104125012768,1
2000,GAB,Gabon,FRA,France,49.75124378,0.40346923770752585,2
2000,GAB,Gabon,DEU,Germany,0.557398194,0.004520349791197353,3
2000,GBR,United Kingdom,FRA,France,53966.27971,0.47718613642679886,1
2000,GBR,United Kingdom,USA,United States,28317.0,0.2503874622784825,2
2000,GBR,United Kingdom,JPN,Japan,6800.909386,0.060135693835733056,3
2000,GBR,United Kingdom,CHE,Switzerland,6416.060728,0.05673274582436534,4
2000,GBR,United Kingdom,NLD,Netherlands,6286.161784,0.05558414014788779,5
2000,GBR,United Kingdom,OTH,Others,11306.311734935,0.09997382148673241,6
2000,GEO,Georgia,DEU,Germany,3.127879123,1.0,1
2000,GGY,Guernsey,PRT,Portugal,6.378293717,0.5776239865074765,1
2000,GGY,Guernsey,ISR,Israel,4.664,0.4223760134925235,2
2000,GHA,Ghana,MYS,Malaysia,50.50013158,0.9682275465273064,1
2000,GHA,Ghana,PRT,Portugal,1.362631288,0.026125420024134982,2
2000,GHA,Ghana,KOR,"Korea, Rep.",0.294534,0.005647033448558663,3
2000,GIB,Gibraltar,ISR,Israel,7.899,1.0,1
2000,GMB,"Gambia, The",DEU,Germany,3.518518519,1.0,1
2000,GNB,Guinea-Bissau,PRT,Portugal,1.261286162,1.0,1
2000,GNQ,Equatorial Guinea,DEU,Germany,0.165837479,1.0,1
2000,GRC,Greece,GBR,United Kingdom,944.1227602,0.5406654993250747,1
2000,GRC,Greece,DEU,Germany,250.8356366,0.14364464074791825,2
2000,GRC,Greece,CHE,Switzerland,210.2626655,0.1204099443677183,3
2000,GRC,Greece,USA,United States,106.0,0.06070242699828297,4
2000,GRC,Greece,FRA,France,91.2106136,0.05223307182568486,5
2000,GRC,Greece,OTH,Others,143.79174945,0.08234441673532093,6
2000,GRD,Grenada,USA,United States,1.0,0.8597908747335328,1
2000,GRD,Grenada,DEU,Germany,0.163073521,0.14020912526646714,2
2000,GTM,Guatemala,USA,United States,93.0,0.5521371398363288,1
2000,GTM,Guatemala,DEU,Germany,46.93477059,0.27864978486491226,2
2000,GTM,Guatemala,PRT,Portugal,15.83287267,0.09399910786458687,3
2000,GTM,Guatemala,KOR,"Korea, Rep.",10.013268,0.05944835649392082,4
2000,GTM,Guatemala,CRI,Costa Rica,2.029,0.012046088782020549,5
2000,GTM,Guatemala,OTH,Others,0.626502975,0.003719522158230656,6
2000,GUM,Guam,KOR,"Korea, Rep.",0.215928,1.0,1
2000,GUY,Guyana,DEU,Germany,0.090289294,1.0,1
2000,HKG,"Hong Kong SAR, China",USA,United States,4922.0,0.6907902821038312,1
2000,HKG,"Hong Kong SAR, China",DEU,Germany,777.2452552,0.10908441062646734,2
2000,HKG,"Hong Kong SAR, China",SWE,Sweden,580.516664,0.08147404918539923,3
